lookAtPositionX,lookAtPositionY,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,facePositionX,facePositionY,facePositionZ,faceEulerAnglesX,faceEulerAnglesY,faceEulerAnglesZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,leftEyeEulerAnglesX,leftEyeEulerAnglesY,leftEyeEulerAnglesZ,rightEyePositionX,rightEyePositionY,rightEyePositionY_40,rightEyeEulerAnglesX,rightEyeEulerAnglesY,rightEyeEulerAnglesZ
0.0,1.0,0.039939728,0.33681455,0.0,0.07561324,0.0,0.12514994,5.83321e-06,0.03883317,0.33530977,0.19776382,0.0,0.0,0.12521571,5.860993e-06,0.28073618,0.28084293,0.04324458,0.0,0.0,0.050512686,0.028418956,0.02427402,0.07846246,0.07037183,0.43874097,0.58217347,0.24293324,0.567518,0.56477743,0.4974904,0.5168123,0.5151378,0.5141463,0.60299665,0.52247256,0.5046941,0.48307103,0.5152943,0.5141346,0.60316116,0.55901146,0.51232
0.0,1.0,0.05017448,0.33319417,0.0,0.07767378,0.0,0.12956904,4.8295175e-07,0.049004987,0.33167768,0.20002706,0.0,0.0,0.12965916,4.8525203e-07,0.283326,0.28348127,0.044413395,0.0,0.0,0.047344822,0.028723571,0.024859548,0.080907345,0.072681405,0.43889967,0.5818572,0.24329197,0.5684533,0.5634645,0.4973768,0.5168167,0.5151334,0.51413995,0.6018441,0.5234329,0.5048382,0.4830687,0.5152907,0.51412666,0.6020095,0.56003666,0.51238906
0.0,1.0,0.051433187,0.32995743,0.0,0.07775266,0.0,0.1343238,3.998525e-08,0.05019555,0.3284702,0.19988297,0.0,0.0,0.13442124,4.01757e-08,0.2799803,0.28012016,0.044943765,0.0,0.0,0.046122428,0.028892856,0.0248573,0.08182297,0.07335976,0.4387175,0.5819104,0.24339116,0.5685564,0.56365675,0.49798197,0.5168189,0.515122,0.51413506,0.6008951,0.52322054,0.50474846,0.48306838,0.51528114,0.51412207,0.60106254,0.5597763,0.51221794
1.0,0.0,0.012395491,0.28573957,0.0,0.06590543,0.0,0.0958747,0.006706624,0.012191316,0.2847289,0.18918821,0.0,0.0,0.09587268,0.006769352,0.3572252,0.35728484,0.03807844,0.0,0.0,0.07705427,0.030073177,0.024787158,0.075228356,0.06998549,0.4364858,0.58600134,0.24091274,0.54459244,0.57308525,0.5290838,0.5168179,0.51510113,0.5141452,0.5875011,0.51974237,0.50348973,0.4830657,0.5152827,0.5141268,0.58769524,0.556828,0.51004755
1.0,0.0,0.012932699,0.28284046,0.0,0.062072944,0.0,0.09709593,0.004928112,0.012710366,0.28190336,0.18517037,0.0,0.0,0.09709527,0.004964269,0.35448012,0.35460314,0.03812459,0.0,0.0,0.0792028,0.029738382,0.02508986,0.07368245,0.06914065,0.4366269,0.585943,0.24107626,0.5460624,0.5727193,0.5289492,0.51681584,0.51510435,0.51415455,0.5865188,0.518667,0.5032619,0.48306966,0.51528734,0.5141366,0.58671445,0.5557108,0.5097385
1.0,0.0,0.014754542,0.28878078,0.0,0.06560796,0.0,0.099765666,0.0031942264,0.014470866,0.28777575,0.1890072,0.0,0.0,0.09976623,0.0032115902,0.35646412,0.35660103,0.038479056,0.0,0.0,0.07980627,0.030470397,0.025937937,0.074103594,0.06981938,0.43675336,0.5862227,0.24118322,0.5474156,0.5728251,0.5292394,0.51681757,0.5151102,0.5141687,0.588266,0.519826,0.50353575,0.48307037,0.51529694,0.5141539,0.5884665,0.5569196,0.510154
0.0,1.0,0.1005273,0.36246562,0.0,0.036604833,0.0,0.10073921,8.526167e-10,0.09947752,0.3615978,0.15918325,0.0,0.0,0.100739874,8.5916624e-10,0.29623774,0.2962388,0.044893954,0.0,0.0,0.061783124,0.035523683,0.027436838,0.08327168,0.07566023,0.43844882,0.58258754,0.24351606,0.5488927,0.5675682,0.51252323,0.5168093,0.51512355,0.51420736,0.61078227,0.5107447,0.5024202,0.48308474,0.5153291,0.51419604,0.6109977,0.5472799,0.5106543
0.0,1.0,0.10582319,0.3600173,0.0,0.049493283,0.0,0.10898627,7.059109e-11,0.104824245,0.35896915,0.17212678,0.0,0.0,0.10898899,7.113338e-11,0.29734167,0.29735228,0.04562307,0.0,0.0,0.060224503,0.036445223,0.028838577,0.08380111,0.07633807,0.4380544,0.5828886,0.24371907,0.5524178,0.5676017,0.51347286,0.5168054,0.515125,0.5142099,0.6100695,0.5146785,0.50328404,0.4830885,0.515335,0.5141984,0.6102901,0.55123097,0.5114654
0.0,1.0,0.10521155,0.36369407,0.0,0.036618352,0.0,0.112493925,5.8444825e-12,0.10422537,0.36285025,0.15911867,0.0,0.0,0.112497374,5.8893793e-12,0.29566306,0.29569653,0.045006376,0.0,0.0,0.062567145,0.037021685,0.02971315,0.08525554,0.07777003,0.43793136,0.58259016,0.24392843,0.55245113,0.56728226,0.51411384,0.51680136,0.51512325,0.51421314,0.61105984,0.51098484,0.5024807,0.48309064,0.515337,0.5142014,0.61128366,0.5474818,0.5107281
0.0,0.0,0.0,0.24314359,0.0,0.030670717,0.0,0.10211141,0.044051427,0.0,0.24293302,0.1523429,0.0,0.0,0.10211261,0.044259097,0.37525365,0.37655014,0.026113933,0.0,0.0,0.056495767,0.025759496,0.022192527,0.07273518,0.07151711,0.4387757,0.5849164,0.24311626,0.5512797,0.55922157,0.5041344,0.5167695,0.51511204,0.51418775,0.57430583,0.50907135,0.50135803,0.4831314,0.5153367,0.51416886,0.5745464,0.5458297,0.5068739
